Time,kospi_price,lending,credit_long,credit_short,secured_loan,lending_gr,credit_long_gr,credit_short_gr,secured_loan_gr,kospi_price_gr
2009-03-18,1169.95,12671612654660,1476852000000,0,3275367000000,-0.0048,0.0084,0.0000,0.0041,0.0052
2009-03-19,1161.81,12572150141530,1487444000000,0,3175765000000,-0.0078,0.0072,0.0000,-0.0304,-0.0070
2009-03-20,1170.94,12854046994355,1476582000000,0,3163113000000,0.0224,-0.0073,0.0000,-0.0040,0.0079
2009-03-23,1199.5,13287077097790,1419748000000,0,3182556000000,0.0337,-0.0385,0.0000,0.0061,0.0244
2009-03-24,1221.7,13868950206610,1422469000000,0,3193930000000,0.0438,0.0019,0.0000,0.0036,0.0185
2009-03-25,1229.02,14019048977690,1458464000000,0,3189278000000,0.0108,0.0253,0.0000,-0.0015,0.0060
2009-03-26,1243.8,14179996980190,1445070000000,0,3187426000000,0.0115,-0.0092,0.0000,-0.0006,0.0120
2009-03-27,1237.51,13511027762890,1514240000000,0,3230300000000,-0.0472,0.0479,0.0000,0.0135,-0.0051
2009-03-30,1197.46,13107209086705,1542087000000,0,3243255000000,-0.0299,0.0184,0.0000,0.0040,-0.0324
2009-03-31,1206.26,13349804811765,1624975000000,0,3203549000000,0.0185,0.0538,0.0000,-0.0122,0.0073
2009-04-01,1233.36,14148861828300,1643189000000,0,3223360000000,0.0599,0.0112,0.0000,0.0062,0.0225
2009-04-02,1276.97,15246114286765,1703376000000,0,3249099000000,0.0776,0.0366,0.0000,0.0080,0.0354
2009-04-03,1283.75,15265309133375,1692461000000,0,3271475000000,0.0013,-0.0064,0.0000,0.0069,0.0053
2009-04-06,1297.85,15358272874835,1722423000000,0,3210947000000,0.0061,0.0177,0.0000,-0.0185,0.0110
2009-04-07,1300.1,15652804029075,1692653000000,0,3212969000000,0.0192,-0.0173,0.0000,0.0006,0.0017
2009-04-08,1262.07,14994654470540,1767124000000,0,3234890000000,-0.0420,0.0440,0.0000,0.0068,-0.0293
2009-04-09,1316.35,15882866705205,1815044000000,0,3263885000000,0.0592,0.0271,0.0000,0.0090,0.0430
2009-04-10,1336.04,16153325993945,1875654000000,0,3258029000000,0.0170,0.0334,0.0000,-0.0018,0.0150
2009-04-13,1338.26,16105273176190,1968170000000,0,3258201000000,-0.0030,0.0493,0.0000,0.0001,0.0017
2009-04-14,1342.63,16168212131410,2028792000000,0,3273019000000,0.0039,0.0308,0.0000,0.0045,0.0033
2009-04-15,1333.09,15890161436745,2078190000000,0,3327708000000,-0.0172,0.0243,0.0000,0.0167,-0.0071
2009-04-16,1336.72,16014292425215,2147942000000,0,3443299000000,0.0078,0.0336,0.0000,0.0347,0.0027
2009-04-17,1329,15954997269880,2194271000000,0,3451416000000,-0.0037,0.0216,0.0000,0.0024,-0.0058
2009-04-20,1336.39,16016802198870,2253109000000,0,3378275000000,0.0039,0.0268,0.0000,-0.0212,0.0056
2009-04-21,1336.81,16100378386875,2272310000000,0,3362011000000,0.0052,0.0085,0.0000,-0.0048,0.0003
2009-04-22,1356.02,16894160357910,2326607000000,0,3392374000000,0.0493,0.0239,0.0000,0.0090,0.0144
2009-04-23,1368.8,16984750208365,2376213000000,0,3573726000000,0.0054,0.0213,0.0000,0.0535,0.0094
2009-04-24,1354.1,16755481144765,2440948000000,0,3394563000000,-0.0135,0.0272,0.0000,-0.0501,-0.0107
2009-04-27,1339.83,17246641065595,2478825000000,0,3425037000000,0.0293,0.0155,0.0000,0.0090,-0.0105
2009-04-28,1300.24,16627637441390,2486332000000,0,3443592000000,-0.0359,0.0030,0.0000,0.0054,-0.0295
2009-04-29,1338.42,17144960455900,2496149000000,0,3446295000000,0.0311,0.0039,0.0000,0.0008,0.0294
2009-04-30,1369.36,17480989422515,2488703000000,0,3481020000000,0.0196,-0.0030,0.0000,0.0101,0.0231
2009-05-04,1397.92,17777864211905,2497031000000,0,3473306000000,0.0170,0.0033,0.0000,-0.0022,0.0209
2009-05-06,1393.45,17515393272075,2486129000000,0,3471708000000,-0.0148,-0.0044,0.0000,-0.0005,-0.0032
2009-05-07,1401.08,17400824513135,2564275000000,0,3655290000000,-0.0065,0.0314,0.0000,0.0529,0.0055
2009-05-08,1412.13,17354810233690,2596752000000,0,3610352000000,-0.0026,0.0127,0.0000,-0.0123,0.0079
2009-05-11,1415.16,17691318492750,2635355000000,0,3502393000000,0.0194,0.0149,0.0000,-0.0299,0.0021
2009-05-12,1403.51,17293389971680,2680344000000,0,3557746000000,-0.0225,0.0171,0.0000,0.0158,-0.0082
2009-05-13,1414.52,17474901372725,2687039000000,0,3608755000000,0.0105,0.0025,0.0000,0.0143,0.0078
2009-05-14,1380.95,16946022297415,2692779000000,0,4012052000000,-0.0303,0.0021,0.0000,0.1118,-0.0237
2009-05-15,1391.73,17038475552705,2731301000000,0,3903311000000,0.0055,0.0143,0.0000,-0.0271,0.0078
2009-05-18,1386.68,16957850837205,2789894000000,0,3604448000000,-0.0047,0.0215,0.0000,-0.0766,-0.0036
2009-05-19,1428.21,17602119205270,2788921000000,0,3627333000000,0.0380,-0.0003,0.0000,0.0063,0.0299
2009-05-20,1435.7,17628538840745,2814117000000,0,3723847000000,0.0015,0.0090,0.0000,0.0266,0.0052
2009-05-21,1421.65,17512073085070,2853016000000,0,3723229000000,-0.0066,0.0138,0.0000,-0.0002,-0.0098
2009-05-22,1403.75,17309229435175,2854761000000,0,3643287000000,-0.0116,0.0006,0.0000,-0.0215,-0.0126
2009-05-25,1400.9,17522428404910,2848676000000,0,3702002000000,0.0123,-0.0021,0.0000,0.0161,-0.0020
2009-05-26,1372.04,17081328625375,2884899000000,0,3883787000000,-0.0252,0.0127,0.0000,0.0491,-0.0206
2009-05-27,1362.02,17414548036200,2884378000000,0,3915237000000,0.0195,-0.0002,0.0000,0.0081,-0.0073
2009-05-28,1392.17,17739000153725,2909362000000,0,3898407000000,0.0186,0.0087,0.0000,-0.0043,0.0221
2009-05-29,1395.89,17694566209970,2881012000000,0,3785309000000,-0.0025,-0.0097,0.0000,-0.0290,0.0027
2009-06-01,1415.1,18109886427360,2868159000000,0,3725687000000,0.0235,-0.0045,0.0000,-0.0158,0.0138
2009-06-02,1412.85,18537696318170,2857983000000,0,3724068000000,0.0236,-0.0035,0.0000,-0.0004,-0.0016
2009-06-03,1414.89,18476523370445,2889613000000,0,3813035000000,-0.0033,0.0111,0.0000,0.0239,0.0014
2009-06-04,1378.14,17897529666005,2893965000000,274000000,3864269000000,-0.0313,0.0015,0.0000,0.0134,-0.0260
2009-06-05,1394.71,17985533481760,2945237000000,688000000,3747843000000,0.0049,0.0177,1.5109,-0.0301,0.0120
2009-06-08,1393.3,17873668572085,2944683000000,846000000,3766534000000,-0.0062,-0.0002,0.2297,0.0050,-0.0010
2009-06-09,1371.84,17560823169715,2988988000000,1286000000,3771520000000,-0.0175,0.0150,0.5201,0.0013,-0.0154
2009-06-10,1414.88,17714559451565,2986361000000,1773000000,3778949000000,0.0088,-0.0009,0.3787,0.0020,0.0314
2009-06-11,1419.39,17654787805755,3005113000000,2314000000,3802715000000,-0.0034,0.0063,0.3051,0.0063,0.0032
